user_id,session_id,timestamp,hour_of_day,day_of_week,agent_used,task_type,interaction_duration,completion_status,priority_level,response_time,feedback_score,language,sentiment_score,follow_up_required
U004,S167,2025-02-01 22:25:00,22,5,Executive Assistant,Send Email,536,Failed,High,7,3.2,Spanish,-0.95,Yes
U006,S168,2025-02-01 09:25:00,9,5,Task Management,Track Progress,286,In Progress,High,7,4.8,French,-0.07,Yes
U031,S169,2025-02-01 20:06:00,20,5,Calendar Agent,Send Confirmation,487,In Progress,Low,7,4.1,Spanish,-0.66,Yes
U003,S170,2025-02-02 02:49:00,2,6,Task Management,Assign Task,589,Failed,Medium,4,3.2,English,-0.72,No
U001,S171,2025-02-02 00:59:00,0,6,Task Management,Track Progress,576,Completed,High,9,4.6,French,-0.23,No
U034,S172,2025-02-02 03:29:00,3,6,Task Management,Send Reminder,272,Completed,High,4,5.0,French,-0.2,Yes
U001,S173,2025-02-01 23:25:00,23,5,Executive Assistant,Generate Summary,418,In Progress,Low,4,4.5,Spanish,0.25,Yes
U014,S174,2025-02-01 20:04:00,20,5,Executive Assistant,Send Email,417,Failed,Medium,4,3.3,German,0.16,No
U010,S175,2025-02-01 17:58:00,17,5,Calendar Agent,Update Event,389,In Progress,High,8,3.7,Chinese,0.43,Yes
U023,S176,2025-02-01 22:05:00,22,5,Task Management,Send Reminder,307,Completed,High,5,5.0,French,0.7,Yes
U028,S177,2025-02-02 01:24:00,1,6,Task Management,Track Progress,422,Completed,Low,4,5.0,Spanish,-0.0,Yes
U011,S178,2025-02-01 19:59:00,19,5,Task Management,Track Progress,544,In Progress,Medium,3,4.2,German,0.81,Yes
U030,S179,2025-02-02 04:11:00,4,6,Calendar Agent,Send Confirmation,340,Completed,Low,8,4.2,Spanish,-0.73,Yes
U018,S180,2025-02-01 23:00:00,23,5,Task Management,Send Reminder,87,Completed,High,5,3.8,French,-0.26,Yes
U029,S181,2025-02-01 18:39:00,18,5,Executive Assistant,Generate Summary,556,In Progress,Low,10,4.9,Spanish,0.31,No
U025,S182,2025-02-02 01:53:00,1,6,Task Management,Assign Task,555,Failed,Medium,1,4.3,English,0.65,No
U018,S183,2025-02-01 23:11:00,23,5,Executive Assistant,Generate Summary,525,In Progress,High,7,3.5,English,0.16,No
U045,S184,2025-02-01 09:41:00,9,5,Executive Assistant,Generate Summary,427,Completed,Medium,7,3.5,Spanish,-0.22,Yes
U040,S185,2025-02-02 00:27:00,0,6,Executive Assistant,Generate Summary,345,In Progress,Medium,2,3.4,French,-0.73,Yes
U036,S186,2025-02-01 10:40:00,10,5,Task Management,Assign Task,118,In Progress,Low,10,3.1,English,0.19,Yes
U039,S187,2025-02-01 17:26:00,17,5,Executive Assistant,Send Email,539,Failed,High,2,4.2,French,-0.39,Yes
U008,S188,2025-02-02 01:02:00,1,6,Calendar Agent,Send Confirmation,158,Completed,Medium,8,3.3,French,0.92,Yes
U036,S189,2025-02-01 16:52:00,16,5,Calendar Agent,Resolve Conflict,138,Completed,Low,6,3.1,Chinese,0.12,No
U045,S190,2025-02-01 13:05:00,13,5,Executive Assistant,Send Email,262,In Progress,High,3,4.2,French,0.12,No
U025,S191,2025-02-02 00:45:00,0,6,Executive Assistant,Generate Summary,520,Failed,Low,5,3.3,French,-0.76,Yes
U044,S192,2025-02-02 06:30:00,6,6,Calendar Agent,Resolve Conflict,575,Failed,Medium,2,4.3,French,0.96,No
U044,S193,2025-02-01 10:03:00,10,5,Calendar Agent,Send Confirmation,133,In Progress,High,8,3.3,Chinese,-0.9,Yes
U019,S194,2025-02-01 08:24:00,8,5,Calendar Agent,Send Confirmation,227,In Progress,Low,2,4.8,German,-0.77,Yes
U032,S195,2025-02-02 06:22:00,6,6,Calendar Agent,Resolve Conflict,318,In Progress,High,10,3.8,French,-0.36,No
U049,S196,2025-02-01 23:34:00,23,5,Calendar Agent,Update Event,553,Completed,Low,1,4.2,English,0.69,No
U006,S197,2025-02-02 04:39:00,4,6,Executive Assistant,Generate Summary,85,Failed,High,2,4.7,Spanish,-0.69,No
U037,S198,2025-02-01 18:35:00,18,5,Calendar Agent,Resolve Conflict,497,Completed,Low,8,3.9,French,-0.99,Yes
U011,S199,2025-02-01 10:12:00,10,5,Calendar Agent,Update Event,159,Completed,Low,3,3.9,Spanish,0.23,No
U023,S200,2025-02-01 22:54:00,22,5,Task Management,Track Progress,65,In Progress,High,3,3.5,German,-0.37,Yes
U025,S201,2025-02-02 07:16:00,7,6,Calendar Agent,Update Event,488,Failed,High,1,4.3,Spanish,-0.74,Yes
U002,S202,2025-02-02 04:51:00,4,6,Executive Assistant,Schedule Meeting,543,In Progress,Low,8,4.5,English,0.72,No
U011,S203,2025-02-01 11:33:00,11,5,Task Management,Track Progress,381,Failed,Low,6,4.0,Chinese,0.45,Yes
U035,S204,2025-02-02 05:17:00,5,6,Calendar Agent,Resolve Conflict,213,Failed,High,6,3.3,German,0.5,No
U048,S205,2025-02-01 20:32:00,20,5,Executive Assistant,Schedule Meeting,587,In Progress,Low,8,4.6,Chinese,0.15,Yes
U044,S206,2025-02-02 07:25:00,7,6,Calendar Agent,Resolve Conflict,552,In Progress,Medium,5,5.0,German,-0.81,No
U002,S207,2025-02-01 20:24:00,20,5,Calendar Agent,Update Event,448,Completed,Low,1,3.4,English,0.23,Yes
U009,S208,2025-02-02 07:57:00,7,6,Task Management,Assign Task,118,Completed,High,3,3.3,Chinese,0.61,Yes
U014,S209,2025-02-02 03:55:00,3,6,Task Management,Send Reminder,236,Completed,Medium,9,5.0,English,0.29,No
U049,S210,2025-02-01 12:13:00,12,5,Executive Assistant,Send Email,132,Failed,Medium,9,4.8,French,0.51,No
U042,S211,2025-02-01 15:58:00,15,5,Calendar Agent,Update Event,122,In Progress,Low,10,3.3,French,-0.42,Yes
U031,S212,2025-02-01 13:09:00,13,5,Calendar Agent,Update Event,222,In Progress,High,1,4.1,German,0.49,No
U031,S213,2025-02-02 06:30:00,6,6,Calendar Agent,Send Confirmation,392,Completed,Low,10,3.1,English,0.85,Yes
U021,S214,2025-02-02 06:52:00,6,6,Executive Assistant,Generate Summary,284,In Progress,High,10,3.5,English,0.6,Yes
U002,S215,2025-02-01 09:03:00,9,5,Task Management,Track Progress,211,Failed,Medium,2,4.4,English,-0.89,Yes
U022,S216,2025-02-01 09:14:00,9,5,Calendar Agent,Update Event,597,Completed,Medium,7,3.8,Spanish,0.05,No
U009,S217,2025-02-01 16:08:00,16,5,Task Management,Track Progress,335,Completed,Medium,10,3.4,Spanish,0.41,Yes
U040,S218,2025-02-01 19:40:00,19,5,Executive Assistant,Send Email,81,Completed,Medium,9,3.3,German,0.29,Yes
U048,S219,2025-02-02 00:10:00,0,6,Executive Assistant,Schedule Meeting,481,In Progress,Low,6,4.7,French,0.56,No
U027,S220,2025-02-02 06:35:00,6,6,Calendar Agent,Send Confirmation,386,Completed,Medium,3,3.9,Spanish,-0.8,No
U048,S221,2025-02-02 05:37:00,5,6,Calendar Agent,Send Confirmation,375,Completed,Low,2,4.6,French,-0.94,No
U007,S222,2025-02-02 03:08:00,3,6,Task Management,Send Reminder,326,Completed,Medium,2,3.1,English,0.33,Yes
U038,S223,2025-02-01 23:00:00,23,5,Calendar Agent,Send Confirmation,352,Failed,High,1,4.3,Spanish,-0.11,No
U049,S224,2025-02-01 23:10:00,23,5,Executive Assistant,Send Email,469,In Progress,Low,2,3.6,English,-0.99,Yes
U009,S225,2025-02-01 21:45:00,21,5,Task Management,Send Reminder,92,Completed,High,7,4.9,Spanish,-0.42,No
U007,S226,2025-02-01 15:37:00,15,5,Task Management,Send Reminder,212,Completed,Medium,8,4.6,Chinese,-0.82,Yes
U029,S227,2025-02-01 18:20:00,18,5,Task Management,Track Progress,461,Failed,High,9,4.0,German,-0.42,Yes
U048,S228,2025-02-01 21:55:00,21,5,Executive Assistant,Send Email,351,In Progress,Medium,6,4.6,German,-0.78,No
U041,S229,2025-02-02 03:50:00,3,6,Executive Assistant,Schedule Meeting,349,Completed,High,6,3.0,English,0.92,Yes
U039,S230,2025-02-02 00:43:00,0,6,Calendar Agent,Resolve Conflict,225,In Progress,Low,4,3.7,German,-0.93,Yes
U027,S231,2025-02-02 07:55:00,7,6,Executive Assistant,Send Email,390,In Progress,High,5,4.9,Chinese,-0.1,No
U006,S232,2025-02-01 22:21:00,22,5,Executive Assistant,Schedule Meeting,479,In Progress,High,3,4.6,English,-0.14,Yes
U018,S233,2025-02-01 19:32:00,19,5,Calendar Agent,Update Event,439,Failed,High,4,3.6,French,0.3,Yes
U039,S234,2025-02-01 15:29:00,15,5,Task Management,Assign Task,363,Completed,Low,1,4.4,Spanish,-0.63,Yes
U009,S235,2025-02-02 07:56:00,7,6,Executive Assistant,Send Email,299,In Progress,Medium,5,4.5,German,0.16,Yes
U032,S236,2025-02-01 22:09:00,22,5,Executive Assistant,Generate Summary,181,Failed,High,9,3.5,English,-0.79,Yes
U047,S237,2025-02-02 05:43:00,5,6,Task Management,Assign Task,550,In Progress,Medium,2,4.6,French,0.89,Yes
U019,S238,2025-02-01 14:24:00,14,5,Executive Assistant,Send Email,90,Completed,Low,6,4.9,French,-0.15,Yes
U042,S239,2025-02-01 11:32:00,11,5,Calendar Agent,Send Confirmation,436,Completed,High,3,4.9,German,0.54,Yes
U032,S240,2025-02-01 17:59:00,17,5,Task Management,Track Progress,259,In Progress,High,2,4.4,Chinese,0.46,No
U025,S241,2025-02-01 15:21:00,15,5,Executive Assistant,Schedule Meeting,313,Completed,Medium,9,4.0,Spanish,0.1,No
U015,S242,2025-02-01 16:08:00,16,5,Executive Assistant,Send Email,450,Failed,Low,7,4.9,Spanish,0.74,Yes
U034,S243,2025-02-01 21:14:00,21,5,Task Management,Send Reminder,203,In Progress,High,8,3.5,Spanish,-0.26,No
U050,S244,2025-02-01 18:43:00,18,5,Task Management,Track Progress,138,In Progress,Medium,3,4.3,German,0.34,No
U049,S245,2025-02-01 22:01:00,22,5,Calendar Agent,Send Confirmation,258,Completed,Medium,4,5.0,English,0.48,No
U010,S246,2025-02-02 04:29:00,4,6,Task Management,Send Reminder,435,In Progress,Low,6,4.9,French,0.57,Yes
U006,S247,2025-02-01 10:19:00,10,5,Calendar Agent,Send Confirmation,484,In Progress,Medium,2,4.8,German,-0.22,Yes
U036,S248,2025-02-01 14:28:00,14,5,Task Management,Send Reminder,452,Failed,Medium,2,3.8,English,-0.11,Yes
U045,S249,2025-02-01 08:38:00,8,5,Executive Assistant,Send Email,325,Failed,Low,1,3.3,Spanish,-0.72,No
U049,S250,2025-02-01 17:30:00,17,5,Task Management,Send Reminder,395,Completed,Low,2,3.4,Spanish,0.49,No
U021,S251,2025-02-01 12:22:00,12,5,Calendar Agent,Update Event,365,Failed,High,7,4.3,Chinese,0.94,No
U029,S252,2025-02-01 17:00:00,17,5,Executive Assistant,Schedule Meeting,577,Failed,Low,4,3.9,Chinese,0.32,Yes
U003,S253,2025-02-01 15:15:00,15,5,Executive Assistant,Schedule Meeting,299,In Progress,High,4,4.9,Chinese,0.71,Yes
U016,S254,2025-02-02 02:59:00,2,6,Executive Assistant,Generate Summary,125,Completed,Medium,9,4.1,Spanish,-0.5,Yes
U005,S255,2025-02-02 04:55:00,4,6,Executive Assistant,Send Email,456,Completed,Medium,1,4.7,Spanish,-0.81,No
U040,S256,2025-02-01 17:11:00,17,5,Executive Assistant,Send Email,108,Completed,High,2,4.1,German,-0.88,Yes
U045,S257,2025-02-01 23:18:00,23,5,Calendar Agent,Send Confirmation,347,Completed,Medium,8,3.3,English,0.86,No
U002,S258,2025-02-01 13:00:00,13,5,Calendar Agent,Update Event,454,Completed,Low,4,3.6,English,-0.89,Yes
U011,S259,2025-02-02 00:27:00,0,6,Calendar Agent,Send Confirmation,498,Completed,Medium,2,3.6,English,-0.43,No
U007,S260,2025-02-01 20:18:00,20,5,Calendar Agent,Send Confirmation,249,Completed,Low,9,3.3,Chinese,-0.24,No
U012,S261,2025-02-01 20:48:00,20,5,Executive Assistant,Schedule Meeting,383,Failed,High,9,4.0,Spanish,-0.19,Yes
U043,S262,2025-02-02 02:03:00,2,6,Calendar Agent,Resolve Conflict,521,Failed,High,9,4.2,English,0.57,Yes
U038,S263,2025-02-01 12:09:00,12,5,Task Management,Track Progress,180,Failed,High,7,4.7,German,-0.5,Yes
U006,S264,2025-02-02 03:49:00,3,6,Executive Assistant,Schedule Meeting,267,Failed,Medium,1,4.3,English,-0.04,No
U035,S265,2025-02-01 18:52:00,18,5,Calendar Agent,Resolve Conflict,486,Completed,High,10,4.4,English,0.38,No
U008,S266,2025-02-01 19:48:00,19,5,Calendar Agent,Send Confirmation,200,Completed,Low,9,4.3,Chinese,0.59,Yes
U026,S267,2025-02-01 21:15:00,21,5,Calendar Agent,Update Event,320,Failed,Low,2,4.5,Chinese,0.41,No
U044,S268,2025-02-02 03:40:00,3,6,Calendar Agent,Send Confirmation,552,In Progress,Low,1,4.2,English,-0.83,Yes
U048,S269,2025-02-01 21:00:00,21,5,Task Management,Send Reminder,118,In Progress,High,5,3.2,French,0.2,Yes
U049,S270,2025-02-01 21:47:00,21,5,Calendar Agent,Resolve Conflict,370,In Progress,Low,2,3.4,Chinese,-0.94,Yes
U012,S271,2025-02-01 08:45:00,8,5,Executive Assistant,Send Email,194,In Progress,Medium,2,4.7,English,-0.86,No
U016,S272,2025-02-01 21:48:00,21,5,Executive Assistant,Schedule Meeting,484,Completed,Medium,4,4.4,English,-0.56,No
U003,S273,2025-02-01 08:48:00,8,5,Calendar Agent,Update Event,582,Completed,High,3,4.3,English,-0.22,No
U042,S274,2025-02-01 13:31:00,13,5,Executive Assistant,Send Email,562,Failed,Low,1,3.0,French,0.1,No
U024,S275,2025-02-01 17:14:00,17,5,Executive Assistant,Schedule Meeting,278,Failed,Low,4,4.1,French,-0.52,Yes
U009,S276,2025-02-01 17:27:00,17,5,Executive Assistant,Send Email,211,In Progress,High,4,4.4,Chinese,-0.54,Yes
U047,S277,2025-02-01 12:06:00,12,5,Executive Assistant,Send Email,576,In Progress,Low,9,3.7,Spanish,-0.8,Yes
U022,S278,2025-02-01 16:31:00,16,5,Calendar Agent,Update Event,332,Failed,Low,6,4.3,Spanish,-0.88,Yes
U020,S279,2025-02-02 01:44:00,1,6,Task Management,Assign Task,133,Completed,Low,6,5.0,Spanish,0.96,Yes
U025,S280,2025-02-01 16:02:00,16,5,Calendar Agent,Resolve Conflict,65,In Progress,Medium,10,4.6,French,0.52,No
U010,S281,2025-02-01 16:44:00,16,5,Calendar Agent,Update Event,582,In Progress,High,8,4.5,French,-0.46,Yes
U012,S282,2025-02-01 21:51:00,21,5,Task Management,Track Progress,349,In Progress,Medium,9,4.0,Spanish,0.02,No
U037,S283,2025-02-01 17:29:00,17,5,Executive Assistant,Schedule Meeting,259,Completed,Medium,6,3.5,French,-0.61,No
U038,S284,2025-02-01 08:39:00,8,5,Calendar Agent,Send Confirmation,96,Completed,Low,8,3.7,English,-0.54,No
U031,S285,2025-02-01 15:55:00,15,5,Executive Assistant,Schedule Meeting,406,Failed,High,3,4.0,Chinese,0.29,No
U014,S286,2025-02-01 19:37:00,19,5,Calendar Agent,Resolve Conflict,204,Failed,Low,8,4.4,English,-0.12,No
U039,S287,2025-02-01 10:52:00,10,5,Task Management,Send Reminder,519,Failed,High,1,3.3,Chinese,0.98,No
U018,S288,2025-02-02 06:47:00,6,6,Calendar Agent,Update Event,248,Failed,Medium,10,4.4,French,0.16,No
U028,S289,2025-02-01 09:27:00,9,5,Calendar Agent,Resolve Conflict,306,Completed,High,8,3.5,French,0.78,No
U012,S290,2025-02-01 10:52:00,10,5,Calendar Agent,Update Event,387,Failed,Low,9,3.8,Spanish,-0.96,No
U043,S291,2025-02-01 19:19:00,19,5,Executive Assistant,Generate Summary,246,Failed,Low,8,4.2,French,0.07,Yes
U005,S292,2025-02-01 16:58:00,16,5,Executive Assistant,Send Email,357,Failed,Low,8,3.3,German,0.74,Yes
U045,S293,2025-02-01 19:22:00,19,5,Task Management,Send Reminder,331,In Progress,Medium,10,3.8,French,-0.22,No
U007,S294,2025-02-01 13:36:00,13,5,Executive Assistant,Schedule Meeting,324,Failed,Medium,6,3.4,Chinese,0.49,No
U004,S295,2025-02-01 17:51:00,17,5,Task Management,Send Reminder,185,Completed,Low,6,4.1,Chinese,0.69,Yes
U047,S296,2025-02-01 20:53:00,20,5,Executive Assistant,Generate Summary,100,In Progress,Medium,7,4.9,English,-0.64,No
U048,S297,2025-02-01 15:12:00,15,5,Executive Assistant,Send Email,501,Completed,Low,3,3.0,French,0.29,Yes
U049,S298,2025-02-01 21:53:00,21,5,Task Management,Assign Task,222,Completed,Low,7,4.9,Chinese,-0.38,No
U049,S299,2025-02-01 22:45:00,22,5,Task Management,Assign Task,550,Completed,Low,7,4.2,French,-0.44,No
U017,S300,2025-02-01 13:04:00,13,5,Task Management,Assign Task,565,Completed,High,2,3.6,Spanish,-0.23,Yes
U016,S301,2025-02-01 12:08:00,12,5,Calendar Agent,Update Event,383,In Progress,High,6,3.9,Spanish,0.91,No
U032,S302,2025-02-01 10:25:00,10,5,Task Management,Send Reminder,562,Failed,High,9,3.8,Spanish,-0.1,Yes
U044,S303,2025-02-01 13:46:00,13,5,Executive Assistant,Send Email,121,Completed,Low,2,4.1,Spanish,-0.86,No
U017,S304,2025-02-02 05:23:00,5,6,Calendar Agent,Update Event,381,Completed,Low,6,4.1,English,0.96,No
U042,S305,2025-02-01 21:30:00,21,5,Executive Assistant,Generate Summary,395,In Progress,Medium,2,4.0,English,-0.8,No
U004,S306,2025-02-01 12:34:00,12,5,Executive Assistant,Schedule Meeting,567,In Progress,Low,1,3.0,Chinese,-0.51,Yes
U042,S307,2025-02-02 01:10:00,1,6,Calendar Agent,Resolve Conflict,553,In Progress,High,1,4.7,Spanish,0.53,No
U049,S308,2025-02-02 01:50:00,1,6,Task Management,Assign Task,178,Completed,High,1,4.7,Chinese,-0.19,No
U011,S309,2025-02-01 14:52:00,14,5,Executive Assistant,Send Email,397,In Progress,High,5,3.7,Chinese,0.04,No
U017,S310,2025-02-02 01:34:00,1,6,Task Management,Assign Task,406,Failed,Low,1,3.9,German,0.81,Yes
U012,S311,2025-02-02 00:19:00,0,6,Executive Assistant,Send Email,594,In Progress,Low,8,4.5,Spanish,-0.72,No
U041,S312,2025-02-02 04:01:00,4,6,Executive Assistant,Generate Summary,233,Completed,Medium,5,3.6,Spanish,0.35,Yes
U033,S313,2025-02-01 18:54:00,18,5,Calendar Agent,Update Event,325,In Progress,High,6,4.3,Spanish,-0.52,Yes
U040,S314,2025-02-01 14:12:00,14,5,Task Management,Send Reminder,433,Completed,Low,5,3.5,German,0.53,No
U016,S315,2025-02-02 07:40:00,7,6,Calendar Agent,Resolve Conflict,99,Completed,Low,10,4.1,German,0.42,No
U016,S316,2025-02-01 23:20:00,23,5,Calendar Agent,Update Event,214,Completed,Medium,6,3.5,French,-0.76,Yes
U023,S317,2025-02-01 17:45:00,17,5,Task Management,Track Progress,414,Completed,Low,7,4.5,Chinese,-0.19,No
U020,S318,2025-02-01 16:53:00,16,5,Task Management,Send Reminder,304,Failed,Low,1,3.3,Chinese,-0.39,No
U044,S319,2025-02-01 12:22:00,12,5,Executive Assistant,Generate Summary,462,Failed,Medium,6,3.3,Spanish,-0.51,Yes
